criterion,epoch,n_seeds,Accuracy Mean,Accuracy Std,Accuracy CI Low,Accuracy CI High,Macro Precision Mean,Macro Precision Std,Macro Precision CI Low,Macro Precision CI High,Macro Recall Mean,Macro Recall Std,Macro Recall CI Low,Macro Recall CI High,Macro F1 Mean,Macro F1 Std,Macro F1 CI Low,Macro F1 CI High,Weighted F1 Mean,Weighted F1 Std,Weighted F1 CI Low,Weighted F1 CI High,Top-3 Acc Mean,Top-3 Acc Std,Top-3 Acc CI Low,Top-3 Acc CI High,Macro Recall@3 Mean,Macro Recall@3 Std,Macro Recall@3 CI Low,Macro Recall@3 CI High
ce,1,5,0.36856,0.03226248595505312,0.34028068420629665,0.39683931579370335,0.4533889849628115,0.08082500355464761,0.38254274568870866,0.5242352242369144,0.36856,0.03226248595505314,0.34028068420629665,0.39683931579370335,0.31591796796627686,0.039241623997161953,0.28152116795466153,0.3503147679778922,0.41840947559521424,0.04174520095035284,0.3818181936279382,0.4550007575624903,0.6444799999999999,0.048207333467015126,0.6022244091386714,0.6867355908613285,0.6444799999999999,0.04820733346701513,0.6022244091386714,0.6867355908613285
ce,2,5,0.5739000000000001,0.026823217554946682,0.5503884131713745,0.5974115868286256,0.6302882128903504,0.013281233370549228,0.6186466985588485,0.6419297272218524,0.5739000000000001,0.026823217554946682,0.5503884131713745,0.5974115868286256,0.548563450387859,0.030064543665801025,0.5222107159549563,0.5749161848207618,0.6054669770667923,0.020891783524778287,0.5871545213988074,0.6237794327347772,0.84594,0.022878439632107783,0.8258861634752849,0.8659938365247152,0.84594,0.022878439632107776,0.8258861634752849,0.8659938365247152
ce,3,5,0.62854,0.019232862501458288,0.6116816527215744,0.6453983472784256,0.6720798624198244,0.008716113557167282,0.6644398520337584,0.6797198728058904,0.62854,0.0192328625014583,0.6116816527215744,0.6453983472784256,0.6082015182177879,0.02235800616125867,0.5886038617435579,0.6277991746920178,0.6515413051418495,0.01655012725863618,0.6370344789839091,0.6660481312997899,0.8812,0.01266017377447876,0.8701028684066557,0.8922971315933442,0.8812,0.01266017377447877,0.8701028684066557,0.8922971315933442
ce,4,5,0.6405000000000001,0.021233935103979203,0.621887635249652,0.6591123647503482,0.6879020450801828,0.007675534651168715,0.6811741423206649,0.6946299478397008,0.6405,0.02123393510397922,0.6218876352496518,0.6591123647503481,0.6220517771789632,0.018375313622306353,0.6059451046349601,0.6381584497229663,0.6689634604830903,0.023984573030475877,0.647940055285769,0.6899868656804116,0.8902599999999999,0.015244769594847909,0.8768973702827624,0.9036226297172375,0.8902599999999999,0.01524476959484795,0.8768973702827624,0.9036226297172375
ce,5,5,0.6600999999999999,0.021815132362651393,0.6409781933907907,0.6792218066092092,0.6956961036898777,0.013805044842721945,0.6835954483591801,0.7077967590205753,0.6600999999999999,0.021815132362651393,0.6409781933907907,0.6792218066092092,0.6419269403841864,0.023662687210548126,0.621185680548011,0.6626682002203618,0.6835664848670631,0.021854190570723197,0.6644104422289893,0.7027225275051369,0.8957599999999999,0.009433080090829283,0.8874915407384446,0.9040284592615552,0.8957599999999999,0.009433080090829252,0.8874915407384446,0.9040284592615552
ce,6,5,0.6704999999999999,0.016170961628796252,0.6563255271702965,0.6846744728297033,0.7117370078360092,0.005667884701764765,0.7067688878471526,0.7167051278248658,0.6705,0.016170961628796297,0.6563255271702966,0.6846744728297034,0.6566021363771898,0.015092931789975015,0.6433725983640263,0.6698316743903533,0.6966462937198268,0.0097552043094373,0.6880954801314689,0.7051971073081846,0.8929600000000001,0.009862707539007715,0.8843149556762271,0.9016050443237731,0.8929600000000001,0.00986270753900781,0.884314955676227,0.9016050443237732
ce,7,5,0.6769200000000001,0.018144200175262616,0.6610159073242138,0.6928240926757864,0.7130785917752926,0.004950384906233618,0.7087393880865628,0.7174177954640225,0.6769200000000001,0.018144200175262692,0.6610159073242137,0.6928240926757865,0.6656580607980044,0.015216005539025199,0.6523206438873451,0.6789954777086636,0.700931979267331,0.011957719007813441,0.6904505764248646,0.7114133821097973,0.8992000000000001,0.01424131314170152,0.8867169386447075,0.9116830613552928,0.8992000000000001,0.014241313141701552,0.8867169386447075,0.9116830613552928
ce,8,5,0.6917599999999999,0.014890701796758958,0.6787077243915093,0.7048122756084906,0.7210513008906667,0.011077976805801401,0.711341026087819,0.7307615756935144,0.69176,0.014890701796758941,0.6787077243915094,0.7048122756084907,0.6837003050200237,0.016393304038073545,0.6693309404756816,0.6980696695643657,0.7107680531492938,0.011516233819918885,0.7006736291361745,0.7208624771624131,0.9113800000000001,0.006264742612430287,0.90588871098557,0.9168712890144302,0.91138,0.006264742612430207,0.90588871098557,0.9168712890144299
ce,9,5,0.6952,0.011268762132550314,0.6853224944849421,0.705077505515058,0.7317556305941189,0.006062914284301737,0.7264412519093892,0.7370700092788485,0.6952,0.011268762132550314,0.6853224944849421,0.705077505515058,0.6878918133718931,0.009471915541009842,0.6795893133373739,0.6961943134064122,0.7164371604298263,0.012429805292255037,0.7055419557142433,0.7273323651454093,0.91224,0.009598854098276505,0.9038262334142193,0.9206537665857808,0.91224,0.00959885409827645,0.9038262334142194,0.9206537665857807
ce,10,5,0.69508,0.013221648913808006,0.683490713747603,0.7066692862523971,0.7320413969056034,0.0074839471658246556,0.7254814279813055,0.7386013658299013,0.6950800000000001,0.013221648913808011,0.6834907137476031,0.7066692862523972,0.684429073851577,0.014125816006863447,0.6720472501986086,0.6968108975045455,0.7226004509287848,0.014734303387276179,0.7096852645705632,0.7355156372870063,0.91088,0.005481970448661691,0.9060748410390498,0.9156851589609503,0.91088,0.005481970448661618,0.9060748410390499,0.9156851589609502
