split,criterion,seed,epoch,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Top-3 Acc,Macro Recall@3
imbalanced,ce,seed_2,1,0.3529,0.413108865005135,0.35289999999999994,0.30190259234636674,0.4133191118189094,0.6128,0.6128
imbalanced,ce,seed_2,2,0.5819,0.6315258352400527,0.5819,0.562401561292892,0.6046181113389393,0.8599,0.8599
imbalanced,ce,seed_2,3,0.6215,0.6652667374437913,0.6214999999999999,0.600755659693651,0.6394090770676165,0.8724,0.8724000000000001
imbalanced,ce,seed_2,4,0.6168,0.6830940162933034,0.6167999999999999,0.6092280774189125,0.6430808287454512,0.8657,0.8657
imbalanced,ce,seed_2,5,0.6838,0.70822448928754,0.6838,0.6659270201664498,0.7053704474030132,0.8963,0.8963000000000001
imbalanced,ce,seed_2,6,0.6516,0.704640738589607,0.6516,0.6401931604030097,0.6917860237322958,0.8799,0.8798999999999999
imbalanced,ce,seed_2,7,0.6497,0.7046794666087386,0.6496999999999999,0.6477152141533322,0.6843457008663734,0.8791,0.8791
imbalanced,ce,seed_2,8,0.7008,0.7216865899417638,0.7008000000000001,0.6970504385921149,0.7190881429864131,0.904,0.9040000000000001
imbalanced,ce,seed_2,9,0.6814,0.7235466145908431,0.6814,0.678915072388765,0.7067868161476338,0.8991,0.8991000000000001
imbalanced,ce,seed_2,10,0.7047,0.7316494037638882,0.7047,0.7024131398457394,0.7350083964793337,0.91,0.9099999999999999
imbalanced,ce,seed_2,11,0.7022,0.7288859017343251,0.7022000000000002,0.7040072001588188,0.7193660795823325,0.9156,0.9156000000000001
imbalanced,ce,seed_2,12,0.7354,0.7547529734117953,0.7354,0.7384274565788517,0.7521748136825914,0.928,0.9280000000000002
imbalanced,ce,seed_2,13,0.7361,0.7597587003877274,0.7361000000000001,0.7276315597565568,0.7567320168626022,0.9219,0.9218999999999999
imbalanced,ce,seed_2,14,0.7433,0.7575393836869497,0.7433,0.7353955273036119,0.7642788954050028,0.9256,0.9256
imbalanced,ce,seed_2,15,0.7454,0.7581947908534306,0.7454000000000001,0.7410880367962651,0.7691989339982686,0.9316,0.9315999999999999
imbalanced,ce,seed_2,16,0.7249,0.7461872780849717,0.7249,0.7190920958550094,0.7436024853913282,0.9154,0.9154
imbalanced,ce,seed_2,17,0.7268,0.7502651971462858,0.7268,0.7196030787960435,0.7454563812569788,0.9158,0.9157999999999997
imbalanced,ce,seed_2,18,0.7543,0.7595991856636763,0.7543,0.7464810945370873,0.7655624890425998,0.9302,0.9301999999999999
imbalanced,ce,seed_2,19,0.7397,0.7575072889622766,0.7397000000000001,0.7301283572267195,0.7560106970690026,0.9214,0.9214
imbalanced,ce,seed_2,20,0.7388,0.7616331980562697,0.7387999999999999,0.7331509150743281,0.7562022911796716,0.923,0.9229999999999998
imbalanced,ce,seed_18,1,0.3579,0.4939283213707574,0.3579,0.3051115429341612,0.40126360884125234,0.6411,0.6411
imbalanced,ce,seed_18,2,0.6085,0.6390555104553528,0.6085,0.5856736732039649,0.6401633735450659,0.867,0.8670000000000002
imbalanced,ce,seed_18,3,0.6281,0.6838966040791914,0.6281,0.6069565031222578,0.6651722370533042,0.877,0.877
imbalanced,ce,seed_18,4,0.6712,0.6965945497812958,0.6712,0.6495868438454865,0.7057306526424921,0.9075,0.9075000000000001
imbalanced,ce,seed_18,5,0.6714,0.7109198720417189,0.6714,0.650758095326927,0.7031902085489922,0.9067,0.9066999999999998
imbalanced,ce,seed_18,6,0.6684,0.7188776340230295,0.6684,0.6541719172883366,0.7049068779300703,0.8914,0.8914
imbalanced,ce,seed_18,7,0.6776,0.7170039049902541,0.6776,0.6593161588134826,0.7126545165695065,0.8928,0.8927999999999999
imbalanced,ce,seed_18,8,0.6948,0.7383008834232456,0.6948000000000001,0.6851153363018087,0.7255633273180941,0.9056,0.9056000000000001
imbalanced,ce,seed_18,9,0.7097,0.7391017080299604,0.7097,0.6995681209390644,0.7324385751123407,0.9063,0.9063000000000001
imbalanced,ce,seed_18,10,0.7123,0.7435203510332178,0.7123000000000002,0.6949631891622772,0.7409166360349887,0.9032,0.9032000000000002
imbalanced,ce,seed_18,11,0.7336,0.7511544770845224,0.7336,0.72454129735748,0.7534142257714016,0.9162,0.9161999999999999
imbalanced,ce,seed_18,12,0.738,0.7480312339653818,0.7380000000000001,0.7337570128194687,0.7589577898415424,0.9249,0.9248999999999998
imbalanced,ce,seed_18,13,0.745,0.7585977626623279,0.7449999999999999,0.7347299571091493,0.7647814736463825,0.9241,0.9240999999999999
imbalanced,ce,seed_18,14,0.7315,0.766008509785467,0.7315,0.7268526760576386,0.7583492313748381,0.9167,0.9167
imbalanced,ce,seed_18,15,0.7266,0.75563159623402,0.7266,0.7145569060625127,0.7539180152482665,0.9218,0.9218
imbalanced,ce,seed_18,16,0.7146,0.7511676526644598,0.7146000000000001,0.701948229037746,0.7340285936194385,0.9052,0.9052
imbalanced,ce,seed_18,17,0.7228,0.7504346607014909,0.7228,0.7078132447629365,0.7487834254715722,0.9197,0.9197
imbalanced,ce,seed_18,18,0.7412,0.765988160797053,0.7412000000000001,0.7308764525040825,0.7635906703689747,0.9234,0.9234
imbalanced,ce,seed_18,19,0.7219,0.7527257521750041,0.7219,0.7049649572600747,0.7491418102811006,0.9147,0.9147000000000001
imbalanced,ce,seed_18,20,0.724,0.7637187339550422,0.724,0.7118129715223103,0.7509835092701038,0.9095,0.9094999999999999
imbalanced,ce,seed_33,1,0.4129,0.5345993095201192,0.41290000000000004,0.3724440663819439,0.4613764926532473,0.7263,0.7263
imbalanced,ce,seed_33,2,0.5693,0.6084724398372507,0.5693,0.536402477695103,0.6039144391917838,0.8546,0.8545999999999999
imbalanced,ce,seed_33,3,0.6571,0.6784236807016792,0.6571,0.640780505637631,0.6696434041570923,0.8974,0.8974
imbalanced,ce,seed_33,4,0.6518,0.6951311131417415,0.6517999999999999,0.6325242134389034,0.6774306900145406,0.8936,0.8936
imbalanced,ce,seed_33,5,0.6716,0.6795126943879725,0.6716,0.6595213184403395,0.684592668774683,0.8942,0.8942
imbalanced,ce,seed_33,6,0.6963,0.7146266034091366,0.6963000000000001,0.6811011819111883,0.7091622136528732,0.9057,0.9057000000000001
imbalanced,ce,seed_33,7,0.6871,0.7158363668777649,0.6871,0.6740925384667815,0.6989627423457407,0.91,0.9100000000000001
imbalanced,ce,seed_33,8,0.7013,0.7226280014935244,0.7013,0.6908495305536376,0.7002242999911817,0.9177,0.9177
imbalanced,ce,seed_33,9,0.6903,0.7308492974615928,0.6903,0.6820543111759096,0.7036779295603756,0.9164,0.9164
imbalanced,ce,seed_33,10,0.6923,0.7316348462917925,0.6923,0.6805629784869925,0.7100983732731471,0.909,0.909
imbalanced,ce,seed_33,11,0.6917,0.7202230941634211,0.6917,0.6808606727692219,0.7046974046397045,0.9118,0.9117999999999998
imbalanced,ce,seed_33,12,0.6949,0.7299928026273399,0.6949000000000001,0.6851385511971751,0.7185697707117579,0.9149,0.9149
imbalanced,ce,seed_33,13,0.6909,0.7279153847850905,0.6909,0.6747589008889854,0.7118214370004773,0.8894,0.8894
imbalanced,ce,seed_33,14,0.719,0.7449220568592637,0.719,0.7077714332964564,0.7423645397814862,0.9155,0.9155
imbalanced,ce,seed_33,15,0.7317,0.7515699442175718,0.7317,0.7203126669387555,0.7519924374440916,0.9267,0.9267
imbalanced,ce,seed_33,16,0.7298,0.7473006610833551,0.7298,0.7251441700957708,0.7428638032342547,0.9228,0.9228
imbalanced,ce,seed_33,17,0.7484,0.7645704685100898,0.7484,0.7417276835868745,0.7582737997036385,0.9278,0.9278000000000001
imbalanced,ce,seed_33,18,0.7159,0.7441382186938446,0.7159,0.7052120227467559,0.7419687872221207,0.9203,0.9203000000000001
imbalanced,ce,seed_33,19,0.721,0.7478921830252547,0.721,0.7041699422702884,0.7479791890764751,0.9133,0.9132999999999999
imbalanced,ce,seed_33,20,0.7471,0.7657558804970023,0.7471,0.7373963001894828,0.7603646973316547,0.93,0.93
imbalanced,ce,seed_45,1,0.3885,0.3321836016008562,0.38849999999999996,0.33284256075866925,0.45594871336804,0.6368,0.6367999999999998
imbalanced,ce,seed_45,2,0.5758,0.6298104058015392,0.5758,0.5531147719392701,0.5922701006926071,0.8387,0.8387
imbalanced,ce,seed_45,3,0.604,0.6638368730321286,0.604,0.5789973994042741,0.6307215602392562,0.8678,0.8677999999999999
imbalanced,ce,seed_45,4,0.6328,0.6789567855947994,0.6328,0.6086860736747711,0.6624783385890924,0.8945,0.8945000000000001
imbalanced,ce,seed_45,5,0.6362,0.685180303414056,0.6362,0.6182576017708576,0.6709331715921125,0.9004,0.9004
imbalanced,ce,seed_45,6,0.6662,0.7075774225138332,0.6662,0.6569190918967194,0.6870321177649235,0.899,0.899
imbalanced,ce,seed_45,7,0.6981,0.7151601584683908,0.6981000000000002,0.6871328433853271,0.712478750410307,0.915,0.915
imbalanced,ce,seed_45,8,0.6656,0.7105883229045473,0.6656000000000001,0.655372133882774,0.6993745524212968,0.9165,0.9164999999999999
imbalanced,ce,seed_45,9,0.7034,0.7360532065342915,0.7034,0.6966354221842929,0.7261794204236148,0.9237,0.9237
imbalanced,ce,seed_45,10,0.6805,0.7308795255966378,0.6805000000000001,0.6673621906391374,0.7188108660612702,0.9172,0.9172
